device_id,parent_id,name,type,entity_id,unit,zone,location,logical_role,is_enabled,is_virtual,criticality,source,notes
1,0,Датчик дыма (центр веранды),device,,,veranda,Веранда (центр),device_1,true,true,low,devices_source_full,Пожарная безопасность
1.1,1,Дым,smoke,binary_sensor.1_datchik_dyma_smoke,on/off,veranda,Внутри датчика,fire_smoke_main,true,false,critical,devices_source_full,Основной сигнал пожара
1.2,1,Батарея,battery,sensor.dymovoi_signalizator_battery,%,veranda,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание датчика
1.3,1,Tamper,tamper,binary_sensor.dymovoi_signalizator_tamper,on/off,veranda,Внутри датчика,tamper_sensor,true,false,low,devices_source_full,Датчик вскрытия
2,0,Камера общий план,device,,,veranda,Веранда,device_2,true,true,low,devices_source_full,Видеонаблюдение
2.4,2,Видео,camera,camera.smart_camera_2,,veranda,Веранда,видео_camera,true,false,normal,devices_source_full,Общий план стеллажа
3,0,Увлажнитель,device,,,veranda,Пол веранды,device_3,true,true,low,devices_source_full,Увлажнение воздуха
3.5,3,Вкл/выкл,switch,switch.uviazhnitel_,on/off,veranda,Пол веранды,main_humidifier,true,false,normal,devices_source_full,Управление увлажнителем
4,0,Качество воздуха (верхний ярус),device,,,top_rack,Верхний ярус,device_4,true,true,low,devices_source_full,Мониторинг воздуха
4.6,4,CO₂,sensor,sensor.nobito_carbon_dioxide,ppm,top_rack,Верхний ярус,co2_sensor,true,false,normal,devices_source_full,Углекислый газ
4.7,4,VOC,sensor,sensor.nobito_volatile_organic_compounds,mg/m³,top_rack,Верхний ярус,voc_sensor,true,false,normal,devices_source_full,Летучие органические соединения
4.8,4,PM10,sensor,sensor.nobito_pm10,µg/m³,top_rack,Верхний ярус,pm10_sensor,true,false,normal,devices_source_full,Крупная пыль
4.9,4,Влажность,sensor,sensor.nobito_humidity,%,top_rack,Верхний ярус,влажность_sensor,true,false,normal,devices_source_full,Общая влажность воздуха
4.10,4,Формальдегид,sensor,sensor.nobito_formaldehyde,mg/m³,top_rack,Верхний ярус,формальдегид_sensor,true,false,normal,devices_source_full,Вредные испарения
4.11,4,PM2.5,sensor,sensor.nobito_pm2_5,µg/m³,top_rack,Верхний ярус,pm25_sensor,true,false,normal,devices_source_full,Мелкая пыль
4.12,4,Температура,sensor,sensor.kachestvo_vozdukha_temperature,°C,top_rack,Верхний ярус,температура_sensor,true,false,normal,devices_source_full,Общая температура воздуха
4.13,4,Индекс качества,sensor,sensor.nobito_air_quality_index,,top_rack,Верхний ярус,индекс_качества_sensor,true,false,normal,devices_source_full,Обобщённый индекс
5,0,Щиток веранда,device,,,power_system,Щиток,device_5,true,true,low,devices_source_full,Главное электропитание
5.14,5,Выключатель,switch,switch.shchitok_veranda_switch,on/off,power_system,Щиток,veranda_main_power_cutoff,true,false,normal,devices_source_full,Главный рубильник
5.15,5,Всего энергия,sensor,sensor.shchitok_veranda_total_energy,kWh,power_system,Щиток,всего_энергия_sensor,true,false,normal,devices_source_full,Суммарное потребление
5.16,5,Мощность,sensor,sensor.shchitok_veranda_power,Вт,power_system,Щиток,мощность_sensor,true,false,normal,devices_source_full,Текущая мощность
5.17,5,Напряжение,sensor,sensor.shchitok_veranda_voltage,В,power_system,Щиток,напряжение_sensor,true,false,normal,devices_source_full,Напряжение в сети
5.18,5,Ток,sensor,sensor.shchitok_veranda_current,А,power_system,Щиток,ток_sensor,true,false,normal,devices_source_full,Сила тока
6,0,Термостат веранда,device,,,veranda,Веранда,device_6,true,true,low,devices_source_full,Климат-контроль
6.19,6,Основной,climate,climate.termostat_veranda,,veranda,Веранда,основной_climate,true,false,high,devices_source_full,Управление тёплым полом
