DeviceID,SubID,ParentID,Name,Type,EntityID,Unit,Location,Description,Category,Group,Criticality
1,0,0,Датчик дыма (центр веранды),device,,,Веранда (центр),Пожарная безопасность,safety,fire,critical
1,1,1,Дым,smoke,binary_sensor.1_datchik_dyma_smoke,on/off,Внутри датчика,Основной сигнал пожара,safety,fire,critical
1,2,1,Батарея,battery,sensor.dymovoi_signalizator_battery,%,Внутри датчика,Питание датчика,power,battery,important
1,3,1,Tamper,tamper,binary_sensor.dymovoi_signalizator_tamper,on/off,Внутри датчика,Датчик вскрытия,safety,fire,critical
5,0,0,Щиток веранда,device,,,Щиток,Главное электропитание,power,electricity,critical
5,14,5,Выключатель,switch,switch.shchitok_veranda_switch,on/off,Щиток,Главный рубильник,power,electricity,critical
5,15,5,Всего энергия,sensor,sensor.shchitok_veranda_total_energy,kWh,Щиток,Суммарное потребление,power,electricity,critical
5,16,5,Мощность,sensor,sensor.shchitok_veranda_power,Вт,Щиток,Текущая мощность,power,electricity,critical
5,17,5,Напряжение,sensor,sensor.shchitok_veranda_voltage,В,Щиток,Напряжение в сети,power,electricity,critical
5,18,5,Ток,sensor,sensor.shchitok_veranda_current,А,Щиток,Сила тока,power,electricity,critical
8,0,0,Датчик дыма у щитка,device,,,Над щитком,Пожарная безопасность,safety,fire,critical
8,24,8,Дым,smoke,binary_sensor.dymovoi_signalizator_2_smoke,on/off,Над щитком,Сигнал пожара,safety,fire,critical
8,25,8,Батарея,battery,sensor.dymovoi_signalizator_2_battery,%,Внутри датчика,Питание,power,battery,important
8,26,8,Tamper,tamper,binary_sensor.dymovoi_signalizator_2_tamper,on/off,Внутри датчика,Вскрытие,safety,fire,critical
9,0,0,Датчик утечки воды,device,,,Пол у канистр,Защита от протечек,safety,other,normal
9,27,9,Влага,moisture,binary_sensor.datchik_utechki_vody_moisture,on/off,Пол,Обнаружение воды,safety,leak,critical
9,28,9,Батарея,battery,sensor.datchik_utechki_vody_battery,%,Внутри датчика,Питание,power,leak,critical
10,31,10,Батарея,battery,sensor.ogurets_vertikalnyi_battery,%,Внутри датчика,Питание,power,battery,important
11,33,11,Батарея,battery,sensor.klubnika_poliv_niz_seryi_battery,%,Внутри датчика,Питание,power,battery,important
12,37,12,Батарея,battery,sensor.klubnika_vlazhnost_niz_belyi_battery,%,Внутри датчика,Питание,power,battery,important
13,40,13,Батарея,battery,sensor.vlazhnost_nizhnii_gorshok_belyi_battery,%,Внутри датчика,Питание,power,battery,important
14,43,14,Батарея,battery,sensor.sgs01_4_battery,%,Внутри датчика,Питание,power,battery,important
15,46,15,Батарея,battery,sensor.vlazhnost_klubnika_verkh_chernyi_battery,%,Внутри датчика,Питание,power,battery,important
16,49,16,Батарея,battery,sensor.datchik_vlazhnosti_spotifilum_battery,%,Внутри датчика,Питание,power,battery,important
17,52,17,Батарея,battery,sensor.vlazhnost_battery,%,Внутри датчика,Питание,power,battery,important
18,55,18,Батарея,battery,sensor.chernyi_poverkhnost_u_okna_battery,%,Внутри датчика,Питание,power,battery,important
19,58,19,Батарея,battery,sensor.klubnika_verkh_u_okna_battery,%,Внутри датчика,Питание,power,battery,important
20,61,20,Батарея,battery,sensor.datchik_vlazhnosti_verkh_battery,%,Внутри датчика,Питание,power,battery,important
21,64,21,Батарея,battery,sensor.temperature_and_humidity_sensor_battery,%,Внутри датчика,Питание,power,battery,important
22,67,22,Батарея,battery,sensor.temperature_and_humidity_sensor_2_battery,%,Внутри датчика,Критическое питание,power,battery,important
23,69,23,Батарея,battery,sensor.luminance_sensor_battery,%,Внутри датчика,Питание,power,battery,important
25,0,0,Датчик электричества,device,,,Ввод питания,Контроль напряжения,power,electricity,critical
25,72,25,Питание,binary_sensor,binary_sensor.25_datchik_elektrichestva_door,on/off,Ввод,Наличие сети,power,other,critical
25,73,25,Батарея,battery,sensor.datchik_elektrichestva_battery,%,Внутри датчика,Питание датчика,power,battery,critical
26,74,26,Выключатель,switch,switch.temperature_and_humidity_alarm_switch,on/off,Снаружи,Питание,power,plants,normal
26,78,26,Батарея улица,sensor,sensor.temperature_and_humidity_alarm_battery_state,low/ok,Снаружи,Состояние,service,battery,important
29,0,0,Резервный выключатель,device,,,Щиток,Резервное питание,power,electricity,critical
29,81,29,Выключатель,switch,switch.wifi_perekliuchatel_na_din_reiku_2_switch,on/off,Щиток,Дублёр щитка,power,electricity,critical
31,0,0,Zigbee хаб,device,,,Веранда,Координатор сети,safety,gateway,critical
31,84,31,Проблема,binary_sensor,binary_sensor.multimode_gateway_mini_problem,on/off,Хаб,Статус связи,safety,gateway,critical
36,0,0,Сетевой фильтр (3),device,,,Зона полива,Вспомогательное питание,power,watering,important
36,93,36,Насос удобрений,switch,switch.smart_power_strip_eu_2_socket_4,on/off,Зона полива,Перемешивание,power,electricity,critical
36,94,36,Розетка увлажнителя,switch,switch.smart_power_strip_eu_2_socket_3,on/off,Пол,Питание увлажнителя,power,electricity,critical
36,95,36,USB датчик освещения,switch,switch.smart_power_strip_eu_2_socket_5,on/off,Верхний ярус,Питание датчика,power,electricity,critical
37,0,0,Сетевой фильтр (2),device,,,Верхний ярус,Основное питание,power,other,normal
37,99,37,Питание камер,socket,switch.setveoi_filtr_klubnika_socket_5,on/off,Стеллаж,Питание 4 камер,power,other,normal
38,102,38,Питание датчика 24,socket,switch.setevoi_filtr_Novyi_socket_2,on/off,Нижний ярус,Питание T/H датчика,power,other,normal
38,103,38,Питание датчика 4,socket,switch.setevoi_filtr_novyi_socket_3,on/off,Верхний ярус,Питание CO₂ датчика,power,other,normal
