DeviceID,SubID,ParentID,Name,Type,EntityID,Unit,Location,Description,Category,Group,Criticality
1,0,0,Датчик дыма (центр веранды),device,,,Веранда (центр),Пожарная безопасность,safety,fire,critical
1,1,1,Дым,smoke,binary_sensor.1_datchik_dyma_smoke,on/off,Внутри датчика,Основной сигнал пожара,safety,fire,critical
1,2,1,Батарея,battery,sensor.dymovoi_signalizator_battery,%,Внутри датчика,Питание датчика,power,battery,important
1,3,1,Tamper,tamper,binary_sensor.dymovoi_signalizator_tamper,on/off,Внутри датчика,Датчик вскрытия,safety,fire,critical
5,0,0,Щиток веранда,device,,,Щиток,Главное электропитание,power,electricity,critical
5,14,5,Выключатель,switch,switch.shchitok_veranda_switch,on/off,Щиток,Главный рубильник,power,electricity,critical
5,15,5,Всего энергия,sensor,sensor.shchitok_veranda_total_energy,kWh,Щиток,Суммарное потребление,power,electricity,critical
5,16,5,Мощность,sensor,sensor.shchitok_veranda_power,Вт,Щиток,Текущая мощность,power,electricity,critical
5,17,5,Напряжение,sensor,sensor.shchitok_veranda_voltage,В,Щиток,Напряжение в сети,power,electricity,critical
5,18,5,Ток,sensor,sensor.shchitok_veranda_current,А,Щиток,Сила тока,power,electricity,critical
8,0,0,Датчик дыма у щитка,device,,,Над щитком,Пожарная безопасность,safety,fire,critical
8,24,8,Дым,smoke,binary_sensor.dymovoi_signalizator_2_smoke,on/off,Над щитком,Сигнал пожара,safety,fire,critical
8,25,8,Батарея,battery,sensor.dymovoi_signalizator_2_battery,%,Внутри датчика,Питание,power,battery,important
8,26,8,Tamper,tamper,binary_sensor.dymovoi_signalizator_2_tamper,on/off,Внутри датчика,Вскрытие,safety,fire,critical
9,0,0,Датчик утечки воды,device,,,Пол у канистр,Защита от протечек,safety,other,normal
9,27,9,Влага,moisture,binary_sensor.datchik_utechki_vody_moisture,on/off,Пол,Обнаружение воды,safety,leak,critical
9,28,9,Батарея,battery,sensor.datchik_utechki_vody_battery,%,Внутри датчика,Питание,power,leak,critical
25,0,0,Датчик электричества,device,,,Ввод питания,Контроль напряжения,power,electricity,critical
25,72,25,Питание,binary_sensor,binary_sensor.25_datchik_elektrichestva_door,on/off,Ввод,Наличие сети,power,other,critical
25,73,25,Батарея,battery,sensor.datchik_elektrichestva_battery,%,Внутри датчика,Питание датчика,power,battery,critical
29,0,0,Резервный выключатель,device,,,Щиток,Резервное питание,power,electricity,critical
29,81,29,Выключатель,switch,switch.wifi_perekliuchatel_na_din_reiku_2_switch,on/off,Щиток,Дублёр щитка,power,electricity,critical
31,0,0,Zigbee хаб,device,,,Веранда,Координатор сети,safety,gateway,critical
31,84,31,Проблема,binary_sensor,binary_sensor.multimode_gateway_mini_problem,on/off,Хаб,Статус связи,safety,gateway,critical
